timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB]
2023/12/12 09:08:18.801, NVIDIA A40, 00000000:41:00.0, 545.23.08, 39, 42 %, 30 %, 46068 MiB, 35101 MiB
2023/12/12 09:08:18.802, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 100 %, 65 %, 46068 MiB, 8757 MiB
2023/12/12 09:08:18.802, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:08:18.803, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:08:18.803, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:08:18.804, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 36 %, 46068 MiB, 8294 MiB
2023/12/12 09:09:18.805, NVIDIA A40, 00000000:01:00.0, 545.23.08, 28, 17 %, 4 %, 46068 MiB, 45081 MiB
2023/12/12 09:09:18.809, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:09:18.809, NVIDIA A40, 00000000:41:00.0, 545.23.08, 37, 1 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 09:09:18.810, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 99 %, 88 %, 46068 MiB, 8757 MiB
2023/12/12 09:09:18.810, NVIDIA A40, 00000000:81:00.0, 545.23.08, 39, 4 %, 1 %, 46068 MiB, 35169 MiB
2023/12/12 09:09:18.810, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:09:18.812, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:09:18.813, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 46 %, 46068 MiB, 8294 MiB
2023/12/12 09:10:18.814, NVIDIA A40, 00000000:01:00.0, 545.23.08, 30, 0 %, 0 %, 46068 MiB, 45080 MiB
2023/12/12 09:10:18.814, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:10:18.815, NVIDIA A40, 00000000:41:00.0, 545.23.08, 37, 2 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 09:10:18.815, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 90 %, 59 %, 46068 MiB, 8757 MiB
2023/12/12 09:10:18.817, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:10:18.817, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:10:18.817, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:10:18.818, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 99 %, 51 %, 46068 MiB, 8294 MiB
2023/12/12 09:11:18.823, NVIDIA A40, 00000000:01:00.0, 545.23.08, 31, 0 %, 0 %, 46068 MiB, 45084 MiB
2023/12/12 09:11:18.824, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:11:18.829, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 48 %, 33 %, 46068 MiB, 35101 MiB
2023/12/12 09:11:18.829, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 100 %, 66 %, 46068 MiB, 8757 MiB
2023/12/12 09:11:18.830, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 1 %, 1 %, 46068 MiB, 35169 MiB
2023/12/12 09:11:18.830, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:11:18.831, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:11:18.831, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 64, 100 %, 49 %, 46068 MiB, 8294 MiB
2023/12/12 09:12:18.833, NVIDIA A40, 00000000:01:00.0, 545.23.08, 29, 12 %, 3 %, 46068 MiB, 45084 MiB
2023/12/12 09:12:18.834, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:12:18.835, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 4 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 09:12:18.835, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 89 %, 72 %, 46068 MiB, 8757 MiB
2023/12/12 09:12:18.836, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:12:18.837, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:12:18.837, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:12:18.838, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 64, 99 %, 40 %, 46068 MiB, 8294 MiB
2023/12/12 09:13:18.839, NVIDIA A40, 00000000:01:00.0, 545.23.08, 31, 11 %, 0 %, 46068 MiB, 45086 MiB
2023/12/12 09:13:18.840, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:13:18.840, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 0 %, 0 %, 46068 MiB, 35101 MiB
2023/12/12 09:13:18.841, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 92 %, 80 %, 46068 MiB, 8757 MiB
2023/12/12 09:13:18.842, NVIDIA A40, 00000000:81:00.0, 545.23.08, 38, 21 %, 15 %, 46068 MiB, 35169 MiB
2023/12/12 09:13:18.842, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:13:18.843, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:13:18.848, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 45 %, 46068 MiB, 8294 MiB
2023/12/12 09:14:18.849, NVIDIA A40, 00000000:01:00.0, 545.23.08, 32, 7 %, 0 %, 46068 MiB, 45086 MiB
2023/12/12 09:14:18.854, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:14:18.855, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 10 %, 5 %, 46068 MiB, 35101 MiB
2023/12/12 09:14:18.856, NVIDIA A40, 00000000:61:00.0, 545.23.08, 64, 38 %, 25 %, 46068 MiB, 8757 MiB
2023/12/12 09:14:18.857, NVIDIA A40, 00000000:81:00.0, 545.23.08, 40, 6 %, 1 %, 46068 MiB, 35169 MiB
2023/12/12 09:14:18.861, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:14:18.861, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:14:18.862, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 43 %, 46068 MiB, 8294 MiB
2023/12/12 09:15:18.863, NVIDIA A40, 00000000:01:00.0, 545.23.08, 33, 0 %, 0 %, 46068 MiB, 45207 MiB
2023/12/12 09:15:18.864, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:15:18.865, NVIDIA A40, 00000000:41:00.0, 545.23.08, 37, 0 %, 0 %, 46068 MiB, 35101 MiB
2023/12/12 09:15:18.865, NVIDIA A40, 00000000:61:00.0, 545.23.08, 66, 91 %, 55 %, 46068 MiB, 8757 MiB
2023/12/12 09:15:18.866, NVIDIA A40, 00000000:81:00.0, 545.23.08, 37, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:15:18.866, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:15:18.867, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:15:18.868, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 97 %, 43 %, 46068 MiB, 8294 MiB
2023/12/12 09:16:18.868, NVIDIA A40, 00000000:01:00.0, 545.23.08, 31, 0 %, 0 %, 46068 MiB, 45096 MiB
2023/12/12 09:16:18.870, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:16:18.871, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 13 %, 6 %, 46068 MiB, 35101 MiB
2023/12/12 09:16:18.871, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 100 %, 79 %, 46068 MiB, 8757 MiB
2023/12/12 09:16:18.871, NVIDIA A40, 00000000:81:00.0, 545.23.08, 36, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:16:18.872, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 27, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:16:18.872, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:16:18.873, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 63, 100 %, 47 %, 46068 MiB, 8294 MiB
2023/12/12 09:17:18.874, NVIDIA A40, 00000000:01:00.0, 545.23.08, 29, 0 %, 0 %, 46068 MiB, 45096 MiB
2023/12/12 09:17:18.876, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:17:18.877, NVIDIA A40, 00000000:41:00.0, 545.23.08, 38, 1 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 09:17:18.877, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 88 %, 62 %, 46068 MiB, 8757 MiB
2023/12/12 09:17:18.878, NVIDIA A40, 00000000:81:00.0, 545.23.08, 38, 0 %, 0 %, 46068 MiB, 35169 MiB
2023/12/12 09:17:18.878, NVIDIA A40, 00000000:A1:00.0, 545.23.08, 26, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:17:18.879, NVIDIA A40, 00000000:C1:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:17:18.879, NVIDIA A40, 00000000:E1:00.0, 545.23.08, 65, 100 %, 45 %, 46068 MiB, 8294 MiB
2023/12/12 09:18:18.880, NVIDIA A40, 00000000:01:00.0, 545.23.08, 30, 0 %, 0 %, 46068 MiB, 45102 MiB
2023/12/12 09:18:18.881, NVIDIA A40, 00000000:23:00.0, 545.23.08, 25, 0 %, 0 %, 46068 MiB, 45408 MiB
2023/12/12 09:18:18.882, NVIDIA A40, 00000000:41:00.0, 545.23.08, 41, 4 %, 1 %, 46068 MiB, 35101 MiB
2023/12/12 09:18:18.883, NVIDIA A40, 00000000:61:00.0, 545.23.08, 65, 75 %, 42 %, 46068 MiB, 8757 MiB
2023/12/12 09:18:18.884, NVIDIA A40, 00000000:81:00.0, 545.23.08, 38, 5 %, 1 %, 46068 MiB, 35169 MiB
